pergunta;resposta
"tem taxa de entrega";"A taxa varia conforme a distância. Para pedidos acima de R$150, é gratuita."
"como falar com suporte";"No momento, o atendimento é feito via chat interno e WhatsApp."
"qual whatsapp de vocês";"Nosso WhatsApp está disponível diretamente no site."
"o site é seguro";"Sim! Utilizamos criptografia e boas práticas de segurança para proteger seus dados."
"como funciona o pagamento";"Você escolhe o método ao finalizar a compra. PIX confirma em segundos."
"posso pagar na entrega";"No momento não aceitamos pagamentos na entrega."
"como usar cupom";"Se houver cupom disponível, ele pode ser aplicado na finalização do pedido."
"tem cupom de desconto";"Os cupons são disponibilizados em campanhas especiais."
"produto veio errado";"Lamentamos! Entre em contato com o suporte imediatamente."
"produto veio estragado";"Solicite a troca via suporte. Faremos a substituição rapidamente."
"como falar com atendente";"O chat interno e o WhatsApp são nossos canais oficiais."
"qual prazo de troca";"Trocas podem ser solicitadas em até 24 horas após o recebimento."
"tem política de devolução";"Sim, seguimos as normas do CDC. Entre em contato via suporte."
"posso alterar endereço";"Antes do envio, sim. Após o envio, não é possível alterar."
"posso alterar forma de pagamento";"Somente antes da confirmação do pedido."
"como atualizar cadastro";"No momento, atualizações são feitas via suporte."
"vocês têm aplicativo";"Ainda não, mas estamos desenvolvendo!"
"tem programa de fidelidade";"Em breve teremos um sistema de pontos para clientes frequentes."
"como funciona a recomendação da IA";"A IA recomenda produtos com base nos itens que você adicionou ao carrinho."
"por que a IA recomendou isso";"A IA analisa categorias similares e hábitos de compra para sugerir itens úteis."
"todas recomendações são confiáveis";"As recomendações são estatísticas e podem variar conforme o contexto."
"posso confiar na IA";"Sim! As sugestões são baseadas em dados de categorias e popularidade."
"tem entrega expressa";"Sim, entregamos em até 2 horas."
"tem entrega agendada";"Sim, fale com o suporte para agendar."
"tem frete noturno";"No momento não entregamos à noite."
"vocês funcionam feriado";"Pode variar — consulte a página inicial na data específica."
"como criar conta";"No momento, o sistema não exige criação de conta: suas compras são diretas."
"precisa login para comprar";"Não! Basta escolher os produtos e finalizar o pedido."
"posso comprar pelo whatsapp";"Ainda não, apenas pelo site."
"como ver histórico de compras";"No momento, o histórico não está disponível ao cliente."
"como funciona o planner de refeições";"O planner da SFOOD cria sugestões automáticas de refeições para vários dias."
"como usar o planner";"Informe quantos dias deseja e marque suas preferências."
"por que não achei um produto";"Pode estar indisponível ou a busca não retornou resultados."
"um produto está sem preço";"Isso significa que ainda não foi cadastrado corretamente. Estamos ajustando."
"vocês vendem carne";"Sim! Temos diversas opções na categoria Carnes."
"vendem hortifruti";"Sim! Hortifruti sempre fresquinho na seção dedicada."
"vendem bebidas";"Sim, temos bebidas diversas: sucos, refrigerantes e muito mais."
"tem comida pronta";"Sim! Oferecemos refeições prontas para consumo imediato."
"como funciona a separação dos produtos";"Nossa equipe separa e confere cada item antes do envio."
"qual validade dos produtos";"As validades seguem os padrões de cada fornecedor."
"posso pedir quantidade fracionada";"Alguns produtos permitem quantidades fracionadas."
"como atualizar a página de produtos";"Clique no botão 'Recarregar' no painel de produtos."
"como pedir recomendações";"Basta adicionar produtos ao carrinho e clicar em 'Ver recomendações da IA'."
"por que não apareceu recomendação";"Você precisa ter pelo menos 1 item no carrinho."
"por que só aparece resposta repetida";"Isso acontece quando a IA não encontra nada parecido. Adicione mais perguntas no arquivo de conhecimento."
